Env,Gen,Rep,Yr
SS_20,14,2,455.94
SS_20,14,3,323.34
SS_20,15,1,291.72
SS_20,15,2,249.9
SS_20,15,3,316.2
SS_20,16,1,358.02
SS_20,16,2,397.94
SS_20,16,3,479.75
SS_20,17,1,244.42
SS_20,17,2,378.75
SS_20,17,3,388.85
SS_20,18,1,286.84
SS_20,18,2,240.38
SS_20,18,3,101
SS_20,19,1,500.96
SS_20,19,2,472.68
SS_20,19,3,386.83
SS_20,20,1,192.91
SS_20,20,2,264.62
SS_20,20,3,318.15
SS_20,21,1,303
SS_20,21,2,372.69
SS_20,21,3,214.12
SS_20,22,1,311.08
SS_20,22,2,196.95
SS_20,22,3,370.67
SS_20,23,1,324.21
SS_20,23,2,350.47
SS_20,23,3,290.88
SS_20,24,1,279.77
SS_20,24,2,381.78
SS_20,24,3,324.21
SS_20,25,1,406.02
SS_20,25,2,285.83
SS_20,25,3,289.87
SS_20,26,1,424.2
SS_20,26,2,189.88
SS_20,26,3,184.83
SS_20,27,1,282.8
SS_20,27,2,362.59
SS_20,27,3,309.06
SS_20,28,1,390.37
SS_20,28,2,317.24
SS_20,28,3,250.29
SS_20,29,1,280.051
SS_20,29,2,429.624
SS_20,29,3,270.504
SS_20,30,1,194.126
SS_20,30,2,233.376
SS_20,30,3,234.437
